epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,486.092,3.19627,4.21315,2.28042,0.68069,0.45637,0.46959,0.26849,2.89877,2.34848,2.17157,0.00333077,0.00333077,0.00333077
2,933.562,3.01217,2.73026,2.19248,0.74122,0.50191,0.54143,0.32026,2.82876,2.05524,2.20502,0.00649917,0.00649917,0.00649917
3,1378.58,3.03265,2.43449,2.22718,0.77838,0.52491,0.58034,0.34911,2.7803,1.95478,2.22142,0.00950256,0.00950256,0.00950256
4,1823.37,3.00366,2.20969,2.23717,0.68861,0.57038,0.61646,0.37365,2.74957,1.83799,2.22166,0.0092575,0.0092575,0.0092575
5,2268.43,2.92156,2.02243,2.21473,0.59601,0.56454,0.63243,0.39061,2.68469,1.69917,2.20218,0.00901,0.00901,0.00901
6,2712.87,2.88019,1.93593,2.20052,0.60314,0.61274,0.66178,0.41138,2.66175,1.62244,2.19449,0.0087625,0.0087625,0.0087625
7,3154.29,2.83973,1.86752,2.18023,0.68217,0.60486,0.67392,0.42088,2.62673,1.60056,2.17547,0.008515,0.008515,0.008515
7,459.828,2.8397,1.86627,2.17673,0.65406,0.59193,0.66481,0.41503,2.64008,1.61367,2.17472,0.008515,0.008515,0.008515
8,903.844,2.81053,1.81935,2.16518,0.60601,0.65277,0.67865,0.42869,2.59669,1.56506,2.16189,0.0082675,0.0082675,0.0082675
9,1345.06,2.78067,1.78431,2.14674,0.68167,0.59034,0.67728,0.4296,2.59444,1.53973,2.1457,0.00802,0.00802,0.00802
10,1788.63,2.75779,1.75302,2.13499,0.65436,0.64522,0.68346,0.43401,2.58427,1.50808,2.13223,0.0077725,0.0077725,0.0077725
11,2228.3,2.72689,1.71572,2.12486,0.62538,0.65187,0.68331,0.43592,2.5655,1.50048,2.12539,0.007525,0.007525,0.007525
12,2668.33,2.71504,1.7018,2.11829,0.63614,0.6655,0.70118,0.45154,2.55552,1.47523,2.11852,0.0072775,0.0072775,0.0072775
13,3107.73,2.7064,1.69078,2.11387,0.6283,0.65894,0.69386,0.4473,2.53361,1.46243,2.10837,0.00703,0.00703,0.00703
14,3546.13,2.687,1.66698,2.10802,0.66995,0.65773,0.69638,0.44992,2.52135,1.46224,2.10066,0.0067825,0.0067825,0.0067825
15,3986.9,2.67849,1.65359,2.09773,0.63697,0.70062,0.70501,0.45645,2.51658,1.44476,2.09712,0.006535,0.006535,0.006535
16,4430.89,2.66413,1.64109,2.09363,0.67573,0.6503,0.7092,0.46224,2.49989,1.43159,2.09046,0.0062875,0.0062875,0.0062875
17,4878.74,2.64998,1.62563,2.0885,0.64134,0.68709,0.71489,0.46711,2.4881,1.41839,2.08552,0.00604,0.00604,0.00604
18,5316.52,2.64117,1.61351,2.0852,0.63881,0.68738,0.71549,0.46861,2.48882,1.40673,2.08709,0.0057925,0.0057925,0.0057925
19,5752.74,2.63296,1.60386,2.07922,0.64087,0.68872,0.70975,0.46274,2.48726,1.4011,2.08276,0.005545,0.005545,0.005545
20,6189.01,2.61956,1.59267,2.07364,0.62684,0.71573,0.72916,0.47676,2.47354,1.39618,2.07268,0.0052975,0.0052975,0.0052975
21,6626.5,2.60712,1.58491,2.06548,0.66641,0.69533,0.72779,0.47859,2.46748,1.3912,2.06942,0.00505,0.00505,0.00505
22,7066.25,2.59679,1.57008,2.06283,0.69497,0.67859,0.72744,0.47945,2.46835,1.38435,2.07541,0.0048025,0.0048025,0.0048025
23,7508.2,2.58499,1.56064,2.06094,0.67102,0.70004,0.73461,0.48187,2.46312,1.37498,2.06916,0.004555,0.004555,0.004555
24,7951.74,2.57114,1.54637,2.05964,0.65567,0.71022,0.7281,0.47823,2.45981,1.37021,2.06902,0.0043075,0.0043075,0.0043075
25,8391.91,2.56543,1.54084,2.04839,0.67853,0.70519,0.73763,0.48594,2.45427,1.37236,2.06309,0.00406,0.00406,0.00406
26,8826.79,2.55147,1.52531,2.046,0.68073,0.69751,0.73031,0.47988,2.45697,1.36987,2.06671,0.0038125,0.0038125,0.0038125
27,9269.51,2.54185,1.5171,2.04565,0.69793,0.69336,0.73908,0.48857,2.4536,1.36274,2.06683,0.003565,0.003565,0.003565
28,9717.43,2.5361,1.50868,2.04296,0.70469,0.68716,0.7393,0.49112,2.44916,1.35813,2.06635,0.0033175,0.0033175,0.0033175
29,10164.8,2.52072,1.49607,2.03629,0.67357,0.70538,0.74223,0.49258,2.44875,1.35807,2.06322,0.00307,0.00307,0.00307
30,10611.8,2.50981,1.48564,2.03297,0.71061,0.68395,0.74026,0.49064,2.4477,1.35484,2.0619,0.0028225,0.0028225,0.0028225
31,11035.6,2.43401,1.36943,2.04493,0.69333,0.6924,0.74211,0.49125,2.44797,1.353,2.06169,0.002575,0.002575,0.002575
32,11455.7,2.40691,1.34918,2.03498,0.68792,0.69853,0.73711,0.48948,2.44206,1.34966,2.05991,0.0023275,0.0023275,0.0023275
32,457.889,2.48652,1.46503,2.01864,0.69548,0.68035,0.73857,0.48887,2.44552,1.35228,2.05917,0.0023275,0.0023275,0.0023275
33,894.724,2.47799,1.45399,2.01679,0.71833,0.66904,0.74567,0.49393,2.44614,1.35153,2.05951,0.00208,0.00208,0.00208
34,1329.54,2.46724,1.44491,2.01113,0.69376,0.68908,0.7459,0.4944,2.44417,1.34801,2.05845,0.0018325,0.0018325,0.0018325
35,1764.06,2.4554,1.43747,2.00594,0.68737,0.69939,0.74274,0.49127,2.44477,1.34818,2.05652,0.001585,0.001585,0.001585
36,2195.13,2.43541,1.41896,2.00279,0.67818,0.7023,0.74385,0.49227,2.44625,1.34819,2.05784,0.0013375,0.0013375,0.0013375
32,458.482,2.48652,1.46503,2.01864,0.69548,0.68035,0.73857,0.48887,2.44552,1.35228,2.05917,0.0023275,0.0023275,0.0023275
33,896.095,2.47799,1.45399,2.01679,0.71833,0.66904,0.74567,0.49393,2.44614,1.35153,2.05951,0.00208,0.00208,0.00208
