epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,420.04,1.14775,0.67165,0.98333,0.71474,0.69905,0.74384,0.48388,1.22076,0.6945,1.02115,0.000256136,0.000256136,0.000256136
2,831.414,1.18315,0.70141,0.99701,0.68406,0.65515,0.71566,0.46389,1.21548,0.71532,1.02602,0.000484284,0.000484284,0.000484284
3,1243.55,1.20504,0.71984,1.00508,0.66109,0.66756,0.725,0.46966,1.21939,0.7064,1.02749,0.000684235,0.000684235,0.000684235
4,1656.55,1.21294,0.72411,1.00806,0.68189,0.70089,0.73558,0.47372,1.22646,0.7087,1.02628,0.000642115,0.000642115,0.000642115
5,2072.04,1.20651,0.71933,1.00697,0.67241,0.67918,0.72525,0.46814,1.21574,0.70214,1.02513,0.00059982,0.00059982,0.00059982
6,2493.92,1.20618,0.71611,1.00674,0.68844,0.68336,0.73974,0.48258,1.21431,0.69253,1.01951,0.000557525,0.000557525,0.000557525
7,2912.14,1.19777,0.70931,1.00395,0.68195,0.64844,0.72666,0.47426,1.20129,0.69478,1.01867,0.00051523,0.00051523,0.00051523
8,3334.07,1.19033,0.70253,1.0017,0.62877,0.74743,0.73284,0.47953,1.20372,0.68631,1.0167,0.000472935,0.000472935,0.000472935
9,3731.18,1.1726,0.66905,1.00561,0.64933,0.6814,0.72587,0.4758,1.19407,0.68022,1.01572,0.00043064,0.00043064,0.00043064
10,4126.11,1.15743,0.65743,0.99918,0.67748,0.71603,0.74511,0.49212,1.19063,0.67723,1.01823,0.000388345,0.000388345,0.000388345
11,4523.01,1.14818,0.64898,0.99715,0.67341,0.72976,0.75317,0.49763,1.1965,0.67482,1.01614,0.00034605,0.00034605,0.00034605
12,4917.93,1.13986,0.64186,0.99408,0.71973,0.71534,0.75507,0.5023,1.18848,0.67101,1.01366,0.000303755,0.000303755,0.000303755
13,5313.31,1.13128,0.63542,0.99054,0.68117,0.71331,0.74492,0.49224,1.18526,0.66686,1.01281,0.00026146,0.00026146,0.00026146
14,5712.02,1.12382,0.62847,0.98689,0.68711,0.73843,0.74767,0.49303,1.18485,0.66498,1.01312,0.000219165,0.000219165,0.000219165
15,6106.36,1.11498,0.62121,0.98364,0.69339,0.70107,0.74443,0.49196,1.1843,0.66231,1.01143,0.00017687,0.00017687,0.00017687
16,6499.31,1.10711,0.61437,0.98083,0.68582,0.72722,0.74713,0.49269,1.18532,0.6606,1.01229,0.000134575,0.000134575,0.000134575
17,6891.49,1.09967,0.60848,0.97774,0.6723,0.73838,0.75179,0.50086,1.18327,0.65888,1.01026,9.228e-05,9.228e-05,9.228e-05
18,7285.07,1.09468,0.60495,0.97535,0.67034,0.7316,0.74385,0.49407,1.18383,0.65811,1.0118,4.9985e-05,4.9985e-05,4.9985e-05
